,SMILES,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
QM9[44101],O=C1CC2=C(CCC2)N1,3.5186,78.98,-0.2002,0.0068,0.2069,1207.5689,0.150159,-402.013322,-402.005586,-402.004641,-402.045722,29.686
QM9[84932],C[C@H]1N=COCCC1=O,2.2092,73.19,-0.2351,-0.0238,0.2112,1086.0354,0.148085,-439.107725,-439.099251,-439.098307,-439.141328,31.33
QM9[33993],C#C[C@]12C[C@H]1CN=CO2,1.8819,76.12,-0.2429,0.02,0.2628,1051.2194,0.124453,-400.706355,-400.698671,-400.697727,-400.738566,29.683
QM9[98764],CNC(=O)[C@H]1C[C@H]2N[C@@H]12,4.4628,76.69,-0.2262,0.0364,0.2626,1225.9737,0.160579,-419.193171,-419.184448,-419.183504,-419.227307,32.055
QM9[100626],N.N#CC(C#N)=CCN,6.8675,82.21,-0.2678,-0.0819,0.186,1707.5187,0.132603,-414.18909,-414.177113,-414.176169,-414.227809,39.39
QM9[100759],CC[C@@H](C)[C@@H](O)[C@@H](C)O,2.2263,85.56,-0.2553,0.062,0.3174,1609.6524,0.226158,-426.636503,-426.624828,-426.623884,-426.673397,43.032
QM9[126561],CCCc1n[nH]cc1C,1.9702,85.44,-0.2271,0.0312,0.2583,1482.5134,0.1832,-383.310741,-383.300965,-383.30002,-383.346522,35.188
QM9[132014],CC1=C([NH])N=COC1F,2.1749,67.93,-0.2381,-0.0379,0.2001,1041.0241,0.101125,-478.004612,-477.996992,-477.996048,-478.03695,28.014
QM9[61657],C[C@H](C#N)CN1CCC1,4.3651,84.5,-0.2298,0.0397,0.2695,1585.934,0.182717,-383.264794,-383.255214,-383.254269,-383.299963,34.629
QM9[112197],CC[C@H]1O[C]([NH])[C@@]12CO2,3.2087,74.52,-0.268,0.003,0.2711,1248.7913,0.146385,-439.062668,-439.053906,-439.052962,-439.096418,32.194
QM9[76287],N[C@@H]1C(=O)NC(=O)[C@@H]1N,1.356,65.74,-0.2419,-0.0234,0.2186,1077.4611,0.127045,-471.267878,-471.259542,-471.258598,-471.301118,31.041
QM9[70169],O=C1N[C@@H]2C[C@]2(O)C1=O,4.3683,63.38,-0.2489,-0.0774,0.1714,976.6593,0.100708,-473.847813,-473.840161,-473.839217,-473.879921,28.998
QM9[87060],CN1C[C@]1(C#N)C1CC1,2.869,81.08,-0.2499,0.0169,0.2668,1189.8974,0.158541,-382.03929,-382.030209,-382.029265,-382.073201,33.727
QM9[25215],O=c1ccnc[nH]c1=O,4.1765,72.24,-0.2608,-0.0884,0.1724,1024.9877,0.091402,-452.79588,-452.788694,-452.787749,-452.828643,26.045
QM9[68839],O[C@]12CC3(CC3)[C@@]1(O)C2,1.3105,76.43,-0.2256,0.0667,0.2923,1096.0683,0.157754,-422.97154,-422.962865,-422.961921,-423.004237,34.253
QM9[127226],Cc1cn(C)nc1C#N,6.5801,80.1,-0.2534,-0.0245,0.2288,1241.0339,0.124901,-396.976196,-396.967239,-396.966295,-397.011158,30.813
QM9[55140],NC(=O)[C@H]1C[C@@H]2C[C@H]1O2,4.3465,70.87,-0.2434,0.0312,0.2746,1094.9083,0.149009,-439.095881,-439.087845,-439.086901,-439.129191,30.598
QM9[89321],C[C@]12C[C@@H](O)[C@@]1(C#N)N2,3.898,74.6,-0.2765,0.0069,0.2834,1111.221,0.13557,-417.985728,-417.977094,-417.97615,-418.018851,32.371
QM9[74425],CC1=C[C@@]2(C)C[C@H]2CC1,0.2862,92.68,-0.2122,0.0295,0.2417,1256.9907,0.206646,-351.176278,-351.16733,-351.166386,-351.209153,35.784
QM9[78947],O[C@H]1[C@@H]2[C@H]3[C@H]4N2[C@@H]1[C@@]34O,1.9797,66.45,-0.2256,0.0577,0.2833,937.5584,0.125103,-437.774381,-437.767611,-437.766667,-437.805166,27.985
QM9[34392],C#C[C@]12CC[C@H]1CCO2,1.7935,80.88,-0.2449,0.0399,0.2847,1064.8062,0.159549,-385.852959,-385.844885,-385.84394,-385.885611,31.79
QM9[20560],C[C@@H](N)c1cnn[nH]1,5.6371,66.18,-0.246,0.0079,0.254,963.9746,0.133026,-376.09971,-376.092183,-376.091239,-376.131776,27.722
QM9[44633],O=C1C[C@H]2[C@H]3CC[C@H]3[C@@H]12,2.8605,77.78,-0.2358,-0.0208,0.215,990.2898,0.160458,-385.860319,-385.85309,-385.852146,-385.892304,29.251
QM9[1807],CC(C)C1(C)CC1,0.0759,73.94,-0.2626,0.0817,0.3443,852.0802,0.193696,-274.985107,-274.976554,-274.97561,-275.017195,32.603
QM9[121241],CCO[C@H]1CO[C@H]1CC,2.1508,83.32,-0.2433,0.0759,0.3192,1637.935,0.203741,-425.407369,-425.396815,-425.39587,-425.44421,37.219
QM9[20826],CCc1conc1O,2.0398,62.74,-0.2538,0.0002,0.254,937.263,0.119242,-399.802791,-399.795319,-399.794375,-399.834942,27.331
QM9[57002],N#C[C@H](O)[C@H]1N[C@H]2C[C@H]21,5.0848,72.08,-0.2442,0.0238,0.268,1178.8459,0.136992,-417.960826,-417.952831,-417.951887,-417.993769,30.446
QM9[109670],CC[C@]1(C)[C@H](OC)[C@@H]1O,2.3818,82.28,-0.2275,0.0752,0.3027,1308.7043,0.202818,-425.401137,-425.390198,-425.389254,-425.436689,40.029
QM9[35589],C#CC1=NC[C@H](C#N)O1,3.0694,72.71,-0.2732,-0.0514,0.2217,1213.4621,0.088899,-415.58995,-415.582043,-415.581099,-415.623281,28.131
QM9[71632],C[C@@]12O[C@H]3[C@@H]1COC[C@H]32,1.2651,74.57,-0.2329,0.0758,0.3087,987.9667,0.16015,-422.968537,-422.96107,-422.960126,-423.000144,29.843
QM9[31466],C#Cc1coc(OC)c1,1.7544,78.89,-0.2014,-0.0019,0.1996,1392.8456,0.111053,-420.611865,-420.603274,-420.602329,-420.646011,31.034
QM9[125630],CC1=NC(NC=N)=N[N]1,11.1783,88.47,-0.1831,-0.0566,0.1265,1495.2645,0.125256,-430.248132,-430.239018,-430.238074,-430.282604,31.637
QM9[63785],CC1(C)N[C@H]2C(=O)O[C@H]21,5.0078,71.52,-0.2394,0.0027,0.242,1101.7722,0.146935,-439.085192,-439.076884,-439.075939,-439.117784,31.944
QM9[104483],CO[C@]1(C=O)[C@@H]2C[C@H]1C2,1.7667,76.07,-0.2424,-0.0336,0.2089,1065.6941,0.158062,-422.965378,-422.956853,-422.955909,-422.998728,31.923
QM9[126428],CCc1n[nH]c(O)c1C,2.5919,78.24,-0.2078,0.0432,0.2511,1284.8699,0.158915,-419.241237,-419.231437,-419.230493,-419.276226,35.161
QM9[7925],C[C@H]1CC(=O)O[C]1[NH],2.5932,62.61,-0.2764,-0.0138,0.2626,924.6248,0.119388,-399.865422,-399.858131,-399.857187,-399.897362,26.796
QM9[115522],C[C@@]1(C#N)CN[C@H]1CO,3.4379,76.06,-0.2517,0.0244,0.2762,1269.0726,0.159601,-419.193302,-419.183923,-419.182979,-419.227711,34.387
QM9[23353],C/C(=N\O)[C@H]1C[C@H]2C[C@@H]12,0.6588,81.73,-0.2357,0.0178,0.2536,1286.5934,0.169816,-403.080419,-403.071295,-403.070351,-403.11476,34.24
QM9[94641],N#CCN[C@@H]1CC[C@@H]1O,5.6063,77.12,-0.2335,0.0282,0.2617,1568.487,0.159143,-419.189174,-419.17977,-419.178826,-419.22425,33.938
QM9[59795],CC(=O)/C(N)=N/C(C)C,1.8413,83.98,-0.239,-0.0485,0.1905,1524.1828,0.179433,-420.447479,-420.436487,-420.435543,-420.483958,39.49
QM9[16038],C[C@H]1N2CC[C@@]12C#N,4.7839,70.3,-0.2541,-0.0012,0.2529,904.5826,0.13128,-342.754762,-342.747378,-342.746434,-342.78621,27.757
QM9[105680],O=C[C@]1(CO)CC[C@H]1O,2.9875,72.2,-0.2565,-0.0387,0.2178,1163.6222,0.157687,-460.153033,-460.143692,-460.142748,-460.187132,34.611
QM9[24018],C#C[C@H]1Cn2cccc21,1.7411,82.97,-0.204,0.0351,0.2391,1146.3668,0.125337,-363.575026,-363.567409,-363.566465,-363.607687,29.045
QM9[41441],C1C[C@@]23CC[C@]24O[C@H]3[C@H]14,2.0192,78.57,-0.2168,0.0719,0.2887,894.6456,0.160956,-385.778566,-385.772006,-385.771062,-385.80897,28.306
QM9[477],O[C@H]1[C@@H](O)[C@H]1O,0.6618,41.57,-0.2552,0.0505,0.3058,476.1977,0.096192,-343.468335,-343.462548,-343.461604,-343.497233,21.828
QM9[25880],Cc1cc(C(N)=O)c[nH]1,5.2621,78.7,-0.2109,0.0016,0.2124,1359.8986,0.137259,-418.090525,-418.081741,-418.080797,-418.124295,32.601
QM9[58199],CC(C)[C@@H](O)[C@@H](C)C#N,3.0082,82.15,-0.2803,0.0295,0.3098,1365.5258,0.191758,-404.377,-404.366042,-404.365098,-404.412998,39.862
QM9[90917],C[C@H]1O[C@@H]2[C@@H]3CC[C@]12C3,1.7497,82.68,-0.2392,0.0619,0.3011,1060.6058,0.18422,-386.990859,-386.983368,-386.982423,-387.022235,31.315
QM9[106345],CC[C@]12C[C@](C=O)(C1)C2,3.0442,84.93,-0.2434,-0.0249,0.2185,1414.3846,0.181532,-387.060432,-387.05132,-387.050376,-387.094756,34.057
QM9[99296],CNC(=O)CC[C@H]1CO1,1.7581,77.85,-0.2457,0.034,0.2796,1924.0367,0.169432,-440.297237,-440.286907,-440.285963,-440.334753,35.335
QM9[83203],C#C[C@@H]1CC[C@@H]2[C@H](C)[C@H]12,0.8132,87.19,-0.251,0.0599,0.3109,1152.1928,0.183083,-349.923549,-349.914634,-349.91369,-349.957101,34.448
QM9[92114],O[C@H]1CN2C[C@@]3(O)[C@@H]1[C@@H]23,2.3647,70.53,-0.2111,0.0688,0.2799,965.7552,0.148855,-439.029692,-439.02222,-439.021276,-439.06112,30.481
QM9[73361],C[C@]12CO[C@@H]3[C@H](OC1)[C@@H]32,2.6178,72.94,-0.222,0.0818,0.3038,930.2617,0.161042,-423.010282,-423.003058,-423.002114,-423.0416,29.288
QM9[33062],O=c1[nH]cc(CCO)o1,3.6492,68.08,-0.2151,0.0216,0.2367,1486.171,0.124407,-475.07367,-475.064994,-475.06405,-475.107899,31.109
QM9[87725],O[C@H]1C[C@@]12C[C@@H](O)[C@H]2O,2.4304,71.51,-0.2445,0.0635,0.308,1089.6481,0.158235,-460.122637,-460.113731,-460.112786,-460.155977,34.545
QM9[344],C/N=C(\N)C=O,2.7489,50.95,-0.2476,-0.0605,0.187,629.4902,0.095327,-302.564379,-302.557593,-302.556649,-302.594563,23.292
QM9[132679],Oc1cnc(O)c(F)c1,1.9283,65.05,-0.2163,-0.0266,0.1898,1106.0443,0.089385,-497.907516,-497.900228,-497.899284,-497.939134,28.076
QM9[114458],OC[C@H]1O[C@@H]2[C@H]3N[C@@H]2[C@@H]13,1.9253,70.91,-0.2385,0.0741,0.3126,1122.9711,0.149759,-439.007019,-438.999883,-438.998939,-439.038762,28.498
QM9[103286],CC[C@@]1(O)[C@H]2C[C@@H](O)[C@H]21,2.3104,78.41,-0.2403,0.0637,0.3039,1197.6693,0.180947,-424.189772,-424.180283,-424.179339,-424.223615,36.587
QM9[114059],C[C@@]12C[C@]1(O)C[C@H]2CO,0.5427,79.34,-0.2396,0.0764,0.316,1275.2421,0.180797,-424.192093,-424.182375,-424.181431,-424.226205,36.844
QM9[47692],[NH][C]1NC(=O)CCCO1,4.4458,72.77,-0.248,-0.0111,0.2369,1141.2463,0.138409,-455.19431,-455.186277,-455.185333,-455.227827,29.756
QM9[102355],CCC(C#N)(C=O)CC,2.2734,79.27,-0.2736,-0.051,0.2226,1246.2973,0.167648,-403.181017,-403.170217,-403.169272,-403.217583,37.555
QM9[9787],C#C[C@H](O)C1(C)CC1,1.3754,73.22,-0.2628,0.0318,0.2946,986.7435,0.151041,-347.753323,-347.744257,-347.743313,-347.786565,33.801
QM9[15639],CC[C@H]1N=CN[C]1[NH],3.3039,71.12,-0.2311,-0.0038,0.2273,983.1348,0.143616,-360.073914,-360.066049,-360.065104,-360.106321,28.917
QM9[124832],C[C@@H](O)Cc1nnon1,3.7984,66.64,-0.2841,-0.0671,0.217,1323.4275,0.122641,-471.15231,-471.143704,-471.142759,-471.186472,30.697
QM9[71233],C[C@]12CO[C@@H]3CN1[C@@H]3C2,0.3228,77.39,-0.2154,0.0844,0.2998,927.969,0.173203,-403.103666,-403.096607,-403.095663,-403.134487,29.864
QM9[14841],C#C[C@@H]1CO[C@@H]1CC,1.1731,73.69,-0.2497,0.0385,0.2882,1066.6846,0.152202,-347.755605,-347.746938,-347.745994,-347.789281,31.3
QM9[67775],O[C@@]12C=C[C@H]3[C@@H]1C=C[C@H]32,1.3351,75.55,-0.2158,-0.0226,0.1932,869.7136,0.136959,-384.638177,-384.631472,-384.630528,-384.668586,28.712
QM9[68174],O=C1NC[C@]2(O)C[C@H]1C2,3.6213,71.65,-0.24,0.0329,0.2729,1039.093,0.149772,-439.118496,-439.110873,-439.109929,-439.150217,30.639
